Institution,Subinstitution,InstitutionType,År,Afbrudte,Fuldførte,Latitude,Longitude
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Aarhus N",2015,,12.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Aarhus N",2016,,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Aarhus N",2017,,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Aarhus N",2018,,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Aarhus N",2019,,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Aarhus N",2020,,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Aarhus N",2021,,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Aarhus N",2022,,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Aarhus N",2023,,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Aarhus N",2024,,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Hasselager Alle 8",2015,581.0,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Hasselager Alle 8",2016,600.0,,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Hasselager Alle 8",2017,574.0,93.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Hasselager Alle 8",2018,632.0,94.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Hasselager Alle 8",2019,566.0,96.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Hasselager Alle 8",2020,656.0,85.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Hasselager Alle 8",2021,650.0,98.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Hasselager Alle 8",2022,379.0,125.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Hasselager Alle 8",2023,526.0,138.0,,
Erhvervsakademier,Erhvervsakademi Aarhus,"Erhvervsakademi Aarhus, Hasselager Alle 8",2024,,94.0,,
